,id_point_x,building_id_x,last_updated_x,first_updated_x,device_x,objectId_x,name_point_x,description_x,units_x,tagged_units_x,raw_unit_id_x,value_x,type_x,point_type_id_x,measurement_id_x,datasource_hash_x,topic_x,equip_id,id_bdg_x,name_bdg_x,equip_type_abbr_x,equip_type_name_x,area_served_desc_x,tags_x,id_point_y,building_id_y,last_updated_y,first_updated_y,device_y,objectId_y,name_point_y,description_y,units_y,tagged_units_y,raw_unit_id_y,value_y,type_y,point_type_id_y,measurement_id_y,datasource_hash_y,topic_y,id_bdg_y,name_bdg_y,equip_type_abbr_y,equip_type_name_y,area_served_desc_y,tags_y,id_point,building_id,last_updated,first_updated,device,objectId,name_point,description,units,tagged_units,raw_unit_id,value,type,point_type_id,measurement_id,datasource_hash,topic,id_bdg,name_bdg,equip_type_abbr,equip_type_name,area_served_desc,tags
0,198131,140,1551415500000.0,1509508800000.0,,,,UPCM-1 AH-1 Gallery_Mixed Air Temp,F,,2,TRUE,Mixed Air Temperature,78,1,603cdedfc8c6efd774c2ebe9a62b33a8,nyserda+0000083483+ahu1-gallery+UPCM-1 AH-1 Gallery_Mixed Air Temp,18092,140,83483,AHU,Air Handling Unit,,"['ahu', 'hvac']",198149,140,1551415500000.0,1536257700000.0,,,,UPCM-1 AH-1 Gallery_Return Air Temp,F,,2,69.3,Return Air Temperature,85,1,29a9514ea653ed9afbc43704e1230efd,nyserda+0000083483+ahu1-gallery+UPCM-1 AH-1 Gallery_Return Air Temp,140,83483,AHU,Air Handling Unit,,"['ahu', 'hvac']",198145,140,1551415500000.0,1509508800000.0,,,,UPCM-1 AH-1 Gallery_Outdoor Air Temp,F,,2,TRUE,Outside Air Temperature,76,1,d4f8e8a9f1eebcf2ea5c08a68096aee0,nyserda+0000083483+ahu1-gallery+UPCM-1 AH-1 Gallery_Outdoor Air Temp,140,83483,AHU,Air Handling Unit,,"['ahu', 'hvac']"
1,198131,140,1551415500000.0,1509508800000.0,,,,UPCM-1 AH-1 Gallery_Mixed Air Temp,F,,2,TRUE,Mixed Air Temperature,78,1,603cdedfc8c6efd774c2ebe9a62b33a8,nyserda+0000083483+ahu1-gallery+UPCM-1 AH-1 Gallery_Mixed Air Temp,18092,140,83483,AHU,Air Handling Unit,,"['ahu', 'hvac']",198149,140,1551415500000.0,1536257700000.0,,,,UPCM-1 AH-1 Gallery_Return Air Temp,F,,2,69.3,Return Air Temperature,85,1,29a9514ea653ed9afbc43704e1230efd,nyserda+0000083483+ahu1-gallery+UPCM-1 AH-1 Gallery_Return Air Temp,140,83483,AHU,Air Handling Unit,,"['ahu', 'hvac']",198135,140,1551415500000.0,1509508800000.0,,,,UPCM-1 AH-1 Gallery_OA Temp (Reference value),F,,2,31,Outside Air Temperature,76,1,10bd646990542556aa86d3a9236a128e,nyserda+0000083483+ahu1-gallery+UPCM-1 AH-1 Gallery_OA Temp (Reference value),140,83483,AHU,Air Handling Unit,,"['ahu', 'hvac']"
2,198220,140,1551415500000.0,1509508800000.0,,,,UPCM-2 AH-2 2nd Floor_Mixed Air Temp,F,,2,TRUE,Mixed Air Temperature,78,1,3e9a73baa2a23bb6d2512641a0deda36,nyserda+0000083483+ahu2-floor2+UPCM-2 AH-2 2nd Floor_Mixed Air Temp,18094,140,83483,AHU,Air Handling Unit,,"['ahu', 'hvac']",198237,140,1551415500000.0,1536257700000.0,,,,UPCM-2 AH-2 2nd Floor_Return Air Temp,F,,2,68,Return Air Temperature,85,1,6b9e0ebbd36ba727bdeb4437b012b877,nyserda+0000083483+ahu2-floor2+UPCM-2 AH-2 2nd Floor_Return Air Temp,140,83483,AHU,Air Handling Unit,,"['ahu', 'hvac']",198233,140,1551415500000.0,1518620400000.0,,,,UPCM-2 AH-2 2nd Floor_Outdoor Air Temp,F,,2,TRUE,Outside Air Temperature,76,1,82fd8b24d7f37657c33d17d2eb362b9c,nyserda+0000083483+ahu2-floor2+UPCM-2 AH-2 2nd Floor_Outdoor Air Temp,140,83483,AHU,Air Handling Unit,,"['ahu', 'hvac']"
3,198220,140,1551415500000.0,1509508800000.0,,,,UPCM-2 AH-2 2nd Floor_Mixed Air Temp,F,,2,TRUE,Mixed Air Temperature,78,1,3e9a73baa2a23bb6d2512641a0deda36,nyserda+0000083483+ahu2-floor2+UPCM-2 AH-2 2nd Floor_Mixed Air Temp,18094,140,83483,AHU,Air Handling Unit,,"['ahu', 'hvac']",198237,140,1551415500000.0,1536257700000.0,,,,UPCM-2 AH-2 2nd Floor_Return Air Temp,F,,2,68,Return Air Temperature,85,1,6b9e0ebbd36ba727bdeb4437b012b877,nyserda+0000083483+ahu2-floor2+UPCM-2 AH-2 2nd Floor_Return Air Temp,140,83483,AHU,Air Handling Unit,,"['ahu', 'hvac']",198224,140,1551415500000.0,1509508800000.0,,,,UPCM-2 AH-2 2nd Floor_OA Temp (Reference value),F,,2,31,Outside Air Temperature,76,1,c26204f12acb843e13f3f98b98edb4ea,nyserda+0000083483+ahu2-floor2+UPCM-2 AH-2 2nd Floor_OA Temp (Reference value),140,83483,AHU,Air Handling Unit,,"['ahu', 'hvac']"
4,267505,419,1567915260000.0,1551966660000.0,,,,221 E 71st St Mechanical Room Marymount  AHU-1  Marymount AHU-1 Mixed Air Temp,F,,2,69.95,Mixed Air Temperature,78,1,9cb7b76801c0073bedf1d5fea96b8110,nyserda+0000116399+ahu-1+221 E 71st St Mechanical Room Marymount  AHU-1  Marymount AHU-1 Mixed Air Temp,25962,419,116399,AHU,Air Handling Unit,,"['ahu', 'hvac']",267510,419,1567915500000.0,1551966900000.0,,,,221 E 71st St Mechanical Room Marymount  AHU-1  Marymount AHU-1 Return Air Temp,F,,2,70.44,Return Air Temperature,85,1,f9f12936b86a8c4cd68d756ea84b5e60,nyserda+0000116399+ahu-1+221 E 71st St Mechanical Room Marymount  AHU-1  Marymount AHU-1 Return Air Temp,419,116399,AHU,Air Handling Unit,,"['ahu', 'hvac']",267507,419,1567915500000.0,1551966900000.0,,,,221 E 71st St Mechanical Room Marymount  AHU-1  Marymount AHU-1 Outside Air Temp,F,,2,69.76,Outside Air Temperature,76,1,81eacac996517a748dc2ae79649784ee,nyserda+0000116399+ahu-1+221 E 71st St Mechanical Room Marymount  AHU-1  Marymount AHU-1 Outside Air Temp,419,116399,AHU,Air Handling Unit,,"['ahu', 'hvac']"
5,267522,419,1567915500000.0,1551966900000.0,,,,221 E 71st St AHU-10 Mixed Air Temp,F,,2,70.70,Mixed Air Temperature,78,1,273ce8975e94a7567937781e039e695a,nyserda+0000116399+ahu-10+221 E 71st St AHU-10 Mixed Air Temp,25963,419,116399,AHU,Air Handling Unit,,"['ahu', 'hvac']",267528,419,1567915500000.0,1551966900000.0,,,,221 E 71st St AHU-10 Return Air Temp,F,,2,70.22,Return Air Temperature,85,1,2a759b7c4c749d101aa5e3e14c58cbc9,nyserda+0000116399+ahu-10+221 E 71st St AHU-10 Return Air Temp,419,116399,AHU,Air Handling Unit,,"['ahu', 'hvac']",267524,419,1567915500000.0,1551966900000.0,,,,221 E 71st St AHU-10 Outside Air Temp,F,,2,70.50,Outside Air Temperature,76,1,747a71bf035d1fd98493742c4d402f94,nyserda+0000116399+ahu-10+221 E 71st St AHU-10 Outside Air Temp,419,116399,AHU,Air Handling Unit,,"['ahu', 'hvac']"
6,267544,419,1567915500000.0,1551966900000.0,,,,221 E 71st St AHU-2 Mixed Air Temp,F,,2,69.68,Mixed Air Temperature,78,1,cb3f889c867ebee5f0e305ebe6442dc1,nyserda+0000116399+ahu-2+221 E 71st St AHU-2 Mixed Air Temp,25964,419,116399,AHU,Air Handling Unit,,"['ahu', 'hvac']",267550,419,1567915500000.0,1551966900000.0,,,,221 E 71st St AHU-2 Return Air Temp,F,,2,67.54,Return Air Temperature,85,1,92c6140f232acec1507c2f86b74520a1,nyserda+0000116399+ahu-2+221 E 71st St AHU-2 Return Air Temp,419,116399,AHU,Air Handling Unit,,"['ahu', 'hvac']",267546,419,1567915500000.0,1551966900000.0,,,,221 E 71st St AHU-2 Outside Air Temp,F,,2,70.00,Outside Air Temperature,76,1,0e1b5509d5d2d4dbc9ef470410efb76d,nyserda+0000116399+ahu-2+221 E 71st St AHU-2 Outside Air Temp,419,116399,AHU,Air Handling Unit,,"['ahu', 'hvac']"
7,267559,419,1567915500000.0,1551966900000.0,,,,221 E 71st St AHU-3 Mixed Air Temp,F,,2,69.13,Mixed Air Temperature,78,1,bcc86aef5383640c814a245e859e2fe9,nyserda+0000116399+ahu-3+221 E 71st St AHU-3 Mixed Air Temp,25965,419,116399,AHU,Air Handling Unit,,"['ahu', 'hvac']",267566,419,1567915500000.0,1551966900000.0,,,,221 E 71st St AHU-3 Return Air Temp,F,,2,67.91,Return Air Temperature,85,1,dfa2922e184549f342b1cdaa2e48a6bc,nyserda+0000116399+ahu-3+221 E 71st St AHU-3 Return Air Temp,419,116399,AHU,Air Handling Unit,,"['ahu', 'hvac']",267560,419,1567915500000.0,1551966900000.0,,,,221 E 71st St AHU-3 OA Temp,F,,2,73.12,Outside Air Temperature,76,1,4318d0cd73e67471fbb93dc5e7ded34c,nyserda+0000116399+ahu-3+221 E 71st St AHU-3 OA Temp,419,116399,AHU,Air Handling Unit,,"['ahu', 'hvac']"
8,267575,419,1567915500000.0,1551966900000.0,,,,221 E 71st St AHU-4 Mixed Air Temp,F,,2,72.53,Mixed Air Temperature,78,1,2d966a037ef5ddc709a863f76ee00a6f,nyserda+0000116399+ahu-4+221 E 71st St AHU-4 Mixed Air Temp,25966,419,116399,AHU,Air Handling Unit,,"['ahu', 'hvac']",267583,419,1567915500000.0,1551966900000.0,,,,221 E 71st St AHU-4 Return Air Temp,F,,2,72.69,Return Air Temperature,85,1,1753701b2db731a28f7bb8e09bf192a0,nyserda+0000116399+ahu-4+221 E 71st St AHU-4 Return Air Temp,419,116399,AHU,Air Handling Unit,,"['ahu', 'hvac']",267576,419,1567915500000.0,1551966900000.0,,,,221 E 71st St AHU-4 OA Temp,F,,2,71.89,Outside Air Temperature,76,1,ec5ce2999e057d4429bc6486824a91e6,nyserda+0000116399+ahu-4+221 E 71st St AHU-4 OA Temp,419,116399,AHU,Air Handling Unit,,"['ahu', 'hvac']"
9,267592,419,1567915500000.0,1551966900000.0,,,,221 E 71st St AHU-5 Mixed Air Temp,F,,2,68.77,Mixed Air Temperature,78,1,df24f51150e925478f8dacd5baaafe06,nyserda+0000116399+ahu-5+221 E 71st St AHU-5 Mixed Air Temp,25967,419,116399,AHU,Air Handling Unit,,"['ahu', 'hvac']",267598,419,1567915500000.0,1551966900000.0,,,,221 E 71st St AHU-5 Return Air Temp,F,,2,69.00,Return Air Temperature,85,1,f6c76e26337ff9d22aaaaa3a77a0daed,nyserda+0000116399+ahu-5+221 E 71st St AHU-5 Return Air Temp,419,116399,AHU,Air Handling Unit,,"['ahu', 'hvac']",267594,419,1567915500000.0,1551966900000.0,,,,221 E 71st St AHU-5 Outside Air Temp,F,,2,69.80,Outside Air Temperature,76,1,63bcfff8562d581f01d9aa71faa56b64,nyserda+0000116399+ahu-5+221 E 71st St AHU-5 Outside Air Temp,419,116399,AHU,Air Handling Unit,,"['ahu', 'hvac']"
10,267607,419,1567915500000.0,1551966900000.0,,,,221 E 71st St AHU-6 Mixed Air Temp,F,,2,73.29,Mixed Air Temperature,78,1,505f4de84b24465f0b5cd170e21c39a9,nyserda+0000116399+ahu-6+221 E 71st St AHU-6 Mixed Air Temp,25968,419,116399,AHU,Air Handling Unit,,"['ahu', 'hvac']",267614,419,1567915500000.0,1551966900000.0,,,,221 E 71st St AHU-6 Return Air Temp,F,,2,73.01,Return Air Temperature,85,1,5c3b9eed1c2bb542072cbeb2c29513a5,nyserda+0000116399+ahu-6+221 E 71st St AHU-6 Return Air Temp,419,116399,AHU,Air Handling Unit,,"['ahu', 'hvac']",267610,419,1567915500000.0,1555620600000.0,,,,221 E 71st St AHU-6 Outside Air Temp,F,,2,73.41,Outside Air Temperature,76,1,130bed4654ad7ffea2d83e4d8bb5d32c,nyserda+0000116399+ahu-6+221 E 71st St AHU-6 Outside Air Temp,419,116399,AHU,Air Handling Unit,,"['ahu', 'hvac']"
11,267647,419,1567915500000.0,1551966900000.0,,,,221 E 71st St AHU-9 Mixed Air Temp,F,,2,70.93,Mixed Air Temperature,78,1,bfb291fd2192b0cd41b4a7d5a68b3352,nyserda+0000116399+ahu-9+221 E 71st St AHU-9 Mixed Air Temp,25971,419,116399,AHU,Air Handling Unit,,"['ahu', 'hvac']",267654,419,1567915500000.0,1551966900000.0,,,,221 E 71st St AHU-9 Return Air Temp,F,,2,71.50,Return Air Temperature,85,1,dbdc978ec87980afe15acd9377ac1eef,nyserda+0000116399+ahu-9+221 E 71st St AHU-9 Return Air Temp,419,116399,AHU,Air Handling Unit,,"['ahu', 'hvac']",267650,419,1567915500000.0,1551966900000.0,,,,221 E 71st St AHU-9 Outside Air Temp,F,,2,70.12,Outside Air Temperature,76,1,65dad66084ecc1f0be811fa85307d23b,nyserda+0000116399+ahu-9+221 E 71st St AHU-9 Outside Air Temp,419,116399,AHU,Air Handling Unit,,"['ahu', 'hvac']"
12,358562,478,1625111100000.0,1594958400000.0,,,HS.RTU.12_Mixed Air Temperature_HS.RTU.12.MAT,,,f,2,81.3,Mixed Air Temperature,78,1,1eab6471f6d67cdc42f0271cdd8f1b0d,nyserda+0000160783+rtu-12+HS.RTU.12_Mixed Air Temperature_HS.RTU.12.MAT,31822,478,160783,AHU,Air Handling Unit,,"['ahu', 'hvac', 'rtu']",358569,478,1625111100000.0,1594958400000.0,,,HS.RTU.12_Return Air Temperature_HS.RTU.12.RAT,,,f,2,80.2,Return Air Temperature,85,1,60d1ff8dc39c263bcfa266a03f9e5585,nyserda+0000160783+rtu-12+HS.RTU.12_Return Air Temperature_HS.RTU.12.RAT,478,160783,AHU,Air Handling Unit,,"['ahu', 'hvac', 'rtu']",358566,478,1625111100000.0,1594958400000.0,,,HS.RTU.12_Outdoor Air Temperature_HS.RTU.12.OAT,,,f,2,74.3,Outside Air Temperature,76,1,e3ca916e0e6c9d59ffe082383f400d26,nyserda+0000160783+rtu-12+HS.RTU.12_Outdoor Air Temperature_HS.RTU.12.OAT,478,160783,AHU,Air Handling Unit,,"['ahu', 'hvac', 'rtu']"
13,357734,473,1622519100000.0,1616794200000.0,,,HS.ERV-1_Mixed Air Temperature_WCSD.HS.ERV1.MAT,,,f,2,56.98,Mixed Air Temperature,78,1,3fd170820938e956a8b92b458a89271d,nyserda+0000164864+erv-1+HS.ERV-1_Mixed Air Temperature_WCSD.HS.ERV1.MAT,31512,473,164864,AHU,Air Handling Unit,,"['ahu', 'hvac', 'erv']",357738,473,1622519100000.0,1616794200000.0,,,HS.ERV-1_Return Air Temperature_WCSD.HS.ERV1.RAT,,,f,2,65.8,Return Air Temperature,85,1,bd6c16f03e290ed776f61a0d7ef29268,nyserda+0000164864+erv-1+HS.ERV-1_Return Air Temperature_WCSD.HS.ERV1.RAT,473,164864,AHU,Air Handling Unit,,"['ahu', 'hvac', 'erv']",357737,473,1622519100000.0,1616794200000.0,,,HS.ERV-1_Outdoor Air Temperature_WCSD.HS.ERV1.VOAT,,,f,2,55.35,Outside Air Temperature,76,1,8422dbc1597a07403c282503029f5d68,nyserda+0000164864+erv-1+HS.ERV-1_Outdoor Air Temperature_WCSD.HS.ERV1.VOAT,473,164864,AHU,Air Handling Unit,,"['ahu', 'hvac', 'erv']"
14,357757,473,1622519100000.0,1616794200000.0,,,HS.ERV-2_Mixed Air Temperature_WCSD.HS.ERV2.RMS,,,f,2,68.0,Mixed Air Temperature,78,1,f46b8f0ec1e14d92706dec3b33e70b3a,nyserda+0000164864+erv-2+HS.ERV-2_Mixed Air Temperature_WCSD.HS.ERV2.RMS,31513,473,164864,AHU,Air Handling Unit,,"['ahu', 'hvac', 'erv']",357759,473,1622519100000.0,1616794200000.0,,,HS.ERV-2_Return Air Temperature_WCSD.HS.ERV2.RMT,,,f,2,68.95,Return Air Temperature,85,1,aed563d7e49e559dd51a4f2656eeb959,nyserda+0000164864+erv-2+HS.ERV-2_Return Air Temperature_WCSD.HS.ERV2.RMT,473,164864,AHU,Air Handling Unit,,"['ahu', 'hvac', 'erv']",357758,473,1622519100000.0,1616794200000.0,,,HS.ERV-2_Outdoor Air Temperature_WCSD.HS.ERV2.VOAT,,,f,2,55.35,Outside Air Temperature,76,1,1b361d4a13b313e581c7700009df9d89,nyserda+0000164864+erv-2+HS.ERV-2_Outdoor Air Temperature_WCSD.HS.ERV2.VOAT,473,164864,AHU,Air Handling Unit,,"['ahu', 'hvac', 'erv']"
15,357749,473,1622519100000.0,1616794200000.0,,,HS.ERV-02_Mixed Air Temperature_WCSD.HS.ERV2.MAT,,,f,2,62.74,Mixed Air Temperature,78,1,035d25ac37fd35d1414b5dede1abdab2,nyserda+0000164864+erv-2+HS.ERV-02_Mixed Air Temperature_WCSD.HS.ERV2.MAT,31513,473,164864,AHU,Air Handling Unit,,"['ahu', 'hvac', 'erv']",357759,473,1622519100000.0,1616794200000.0,,,HS.ERV-2_Return Air Temperature_WCSD.HS.ERV2.RMT,,,f,2,68.95,Return Air Temperature,85,1,aed563d7e49e559dd51a4f2656eeb959,nyserda+0000164864+erv-2+HS.ERV-2_Return Air Temperature_WCSD.HS.ERV2.RMT,473,164864,AHU,Air Handling Unit,,"['ahu', 'hvac', 'erv']",357758,473,1622519100000.0,1616794200000.0,,,HS.ERV-2_Outdoor Air Temperature_WCSD.HS.ERV2.VOAT,,,f,2,55.35,Outside Air Temperature,76,1,1b361d4a13b313e581c7700009df9d89,nyserda+0000164864+erv-2+HS.ERV-2_Outdoor Air Temperature_WCSD.HS.ERV2.VOAT,473,164864,AHU,Air Handling Unit,,"['ahu', 'hvac', 'erv']"
16,379518,452,1625111100000.0,1617249600000.0,,,HS.RTU.12_Mixed Air Temperature_HS.RTU.12.MAT,,,f,2,81.3,Mixed Air Temperature,78,1,f8fd8a441e7fe793787873849a860921,nyserda+0000128615+rtu-12+HS.RTU.12_Mixed Air Temperature_HS.RTU.12.MAT,33118,452,128615,AHU,Air Handling Unit,,"['ahu', 'hvac', 'rtu']",379526,452,1625111100000.0,1617249600000.0,,,HS.RTU.12_Return Air Temperature_HS.RTU.12.RAT,,,f,2,80.2,Return Air Temperature,85,1,f7edd7d4a0348a00ebb14c6d1e3e9d5d,nyserda+0000128615+rtu-12+HS.RTU.12_Return Air Temperature_HS.RTU.12.RAT,452,128615,AHU,Air Handling Unit,,"['ahu', 'hvac', 'rtu']",379522,452,1625111100000.0,1617249600000.0,,,HS.RTU.12_Outdoor Air Temperature_HS.RTU.12.OAT,,,f,2,74.3,Outside Air Temperature,76,1,597db193dad063e9495607f95703a2b9,nyserda+0000128615+rtu-12+HS.RTU.12_Outdoor Air Temperature_HS.RTU.12.OAT,452,128615,AHU,Air Handling Unit,,"['ahu', 'hvac', 'rtu']"
17,358883,479,1619840700000.0,1604203200000.0,,,SHS.AHU-1_Mixed Air Temperature_SHS.AHU01.MAT,,,f,2,67.95,Mixed Air Temperature,78,1,37b2f85a4628c4f97aac6cb15fa708cd,nyserda+0000163716+ahu-1+SHS.AHU-1_Mixed Air Temperature_SHS.AHU01.MAT,31857,479,163716,AHU,Air Handling Unit,,"['ahu', 'hvac']",358887,479,1619840700000.0,1604203200000.0,,,SHS.AHU-1_Return Air Temperature_SHS.AHU01.RAT,,,f,2,71.35,Return Air Temperature,85,1,bc37040e272d64c957522ad391a7c742,nyserda+0000163716+ahu-1+SHS.AHU-1_Return Air Temperature_SHS.AHU01.RAT,479,163716,AHU,Air Handling Unit,,"['ahu', 'hvac']",358886,479,1619840700000.0,1604203200000.0,,,SHS.AHU-1_Outdoor Air Temperature_SHS.AHU01.OAT,,,f,2,34.55,Outside Air Temperature,76,1,6fc9ad5bac1ecab081f365a3f2c685d0,nyserda+0000163716+ahu-1+SHS.AHU-1_Outdoor Air Temperature_SHS.AHU01.OAT,479,163716,AHU,Air Handling Unit,,"['ahu', 'hvac']"
18,358802,479,1619840700000.0,1604203200000.0,,,SHS.AHU-10_Mixed Air Temperature_SHS.AHU10.MAT,,,f,2,71.27,Mixed Air Temperature,78,1,71e1ccc533721abcf018f18e495e2a1f,nyserda+0000163716+ahu-10+SHS.AHU-10_Mixed Air Temperature_SHS.AHU10.MAT,31858,479,163716,AHU,Air Handling Unit,,"['ahu', 'hvac']",358811,479,1619840700000.0,1604203200000.0,,,SHS.AHU-10_Return Air Temperature_SHS.AHU10.RAT,,,f,2,73.51,Return Air Temperature,85,1,814a15649c993425efe3820de0c1a273,nyserda+0000163716+ahu-10+SHS.AHU-10_Return Air Temperature_SHS.AHU10.RAT,479,163716,AHU,Air Handling Unit,,"['ahu', 'hvac']",358808,479,1619840700000.0,1604203200000.0,,,SHS.AHU-10_Outdoor Air Temperature_SHS.AHU10.OA.DB,,,f,2,55.0,Outside Air Temperature,76,1,29a94719ddd12ba779b7d646df9485d7,nyserda+0000163716+ahu-10+SHS.AHU-10_Outdoor Air Temperature_SHS.AHU10.OA.DB,479,163716,AHU,Air Handling Unit,,"['ahu', 'hvac']"
19,358802,479,1619840700000.0,1604203200000.0,,,SHS.AHU-10_Mixed Air Temperature_SHS.AHU10.MAT,,,f,2,71.27,Mixed Air Temperature,78,1,71e1ccc533721abcf018f18e495e2a1f,nyserda+0000163716+ahu-10+SHS.AHU-10_Mixed Air Temperature_SHS.AHU10.MAT,31858,479,163716,AHU,Air Handling Unit,,"['ahu', 'hvac']",358811,479,1619840700000.0,1604203200000.0,,,SHS.AHU-10_Return Air Temperature_SHS.AHU10.RAT,,,f,2,73.51,Return Air Temperature,85,1,814a15649c993425efe3820de0c1a273,nyserda+0000163716+ahu-10+SHS.AHU-10_Return Air Temperature_SHS.AHU10.RAT,479,163716,AHU,Air Handling Unit,,"['ahu', 'hvac']",358807,479,1619840700000.0,1604203200000.0,,,SHS.AHU-10_Outdoor Air Temperature_SHS.AHU10.OAC,,,f,2,34.15,Outside Air Temperature,76,1,2ebfcc6512bc5914ad3f227efc03f0a2,nyserda+0000163716+ahu-10+SHS.AHU-10_Outdoor Air Temperature_SHS.AHU10.OAC,479,163716,AHU,Air Handling Unit,,"['ahu', 'hvac']"
20,358820,479,1619840700000.0,1604203200000.0,,,SHS.AHU-11_Mixed Air Temperature_SHS.AHU11.MAT,,,f,2,74.72,Mixed Air Temperature,78,1,7b981c0b613f0ff714dcc08b9053bcb9,nyserda+0000163716+ahu-11+SHS.AHU-11_Mixed Air Temperature_SHS.AHU11.MAT,31859,479,163716,AHU,Air Handling Unit,,"['ahu', 'hvac']",358824,479,1619840700000.0,1604203200000.0,,,SHS.AHU-11_Return Air Temperature_SHS.AHU11.RAT,,,f,2,74.12,Return Air Temperature,85,1,e58cd04c3c32c96da8afb473a8fa1a03,nyserda+0000163716+ahu-11+SHS.AHU-11_Return Air Temperature_SHS.AHU11.RAT,479,163716,AHU,Air Handling Unit,,"['ahu', 'hvac']",358823,479,1619840700000.0,1604203200000.0,,,SHS.AHU-11_Outdoor Air Temperature_SHS.AHU11.OAT,,,f,2,36.81,Outside Air Temperature,76,1,ea1b0ec55445962456145ed23eda09cf,nyserda+0000163716+ahu-11+SHS.AHU-11_Outdoor Air Temperature_SHS.AHU11.OAT,479,163716,AHU,Air Handling Unit,,"['ahu', 'hvac']"
